Time,Amount,Note
"9/26/17, 10:35 AM",.9 oz.,0.5 0.4
"9/26/17, 11:38 AM",1.1 oz.,0.4 0.7
"9/26/17, 3:15 PM",1 oz.,0.25 0.75
"9/26/17, 5:10 PM",.65 oz.,0.25 0.4
"9/26/17, 7:50 PM",.75 oz.,0.25 0.5
"9/26/17, 9:15 PM",1.6 oz.,0.6 1
"9/27/17, 1:13 AM",3.5 oz.,2.5 1
"9/27/17, 6:51 AM",3.8 oz.,1 2.8
"9/27/17, 11:10 AM",1.25 oz.,0.25 1
"9/27/17, 11:45 AM",.75 oz.,0.25 0.5
"9/27/17, 2:50 PM",1.25 oz.,0..25 1
"9/27/17, 6:00 PM",1 oz.,0.25 0.75
"9/27/17, 9:31 PM",2.1 oz.,0.8 1.3
"9/28/17, 1:50 AM",2.4 oz.,0.5 1.9
"9/28/17, 7:10 AM",5.4 oz.,1.6 3.8
"9/28/17, 10:00 AM",.5 oz.,0.25 0.25
"9/28/17, 10:24 AM",1.25 oz.,0.5 0.75
"9/28/17, 4:00 PM",1.6 oz.,0.6 1
"9/28/17, 6:05 PM",.85 oz.,0.25 0.6
"9/28/17, 8:54 PM",2.3 oz.,0.8 1.5
"9/29/17, 1:17 AM",4.4 oz.,1.6 2.8
"9/29/17, 8:00 AM",2.2 oz.,0.4 1.8
"9/29/17, 10:50 AM",1.4 oz.,0.6 0.8
"9/29/17, 3:43 PM",1.05 oz.,0.25 0.8
"9/29/17, 7:15 PM",1.2 oz.,0.25 0.9
"9/29/17, 8:01 PM",1.15 oz.,0.4 0.75
"9/29/17, 9:00 PM",1.25 oz.,0.35 0.9
"9/30/17, 1:00 AM",4.4 oz.,1.6 2.8
"9/30/17, 7:15 AM",4.4 oz.,0.7 3.7
"9/30/17, 9:45 AM",2.3 oz.,0.9 1.4
"9/30/17, 7:34 PM",1.75 oz.,1.1 0.6
"9/30/17, 9:30 PM",2.1 oz.,0.7 1.4
"10/1/17, 1:17 AM",3.9 oz.,1.4 2.5
"10/1/17, 7:52 AM",5.1 oz.,1 4.1
"10/1/17, 8:45 AM",1 oz.,0.25 0.75
"10/1/17, 7:10 PM",.75 oz.,0.5 0.25
"10/1/17, 9:00 PM",3 oz.,1.2 1.8
"10/2/17, 1:13 AM",3.35 oz.,1.25 2.1
"10/2/17, 6:25 AM",3.2 oz.,0.5 2.7
"10/2/17, 7:24 AM",1.2 oz.,0.4 0.8
"10/2/17, 10:15 AM",.7 oz.,0.2 0.5
"10/2/17, 11:44 AM",.4 oz.,
"10/2/17, 6:15 PM",.6 oz.,0.2 0.4
"10/2/17, 8:25 PM",2.3 oz.,0.5 1.8
"10/2/17, 9:20 PM",1.1 oz.,0.4 0.7
"10/3/17, 1:18 AM",2.9 oz.,0.2 2.7
"10/3/17, 7:12 AM",3.2 oz.,"0.7 1.9
1 2.2"
"10/3/17, 8:26 AM",1.25 oz.,0.5 0.75
"10/3/17, 5:10 PM",2.1 oz.,0.6 1.5
"10/3/17, 7:41 PM",1.1 oz.,0.3 0.8
"10/3/17, 8:45 PM",2.1 oz.,
"10/4/17, 1:19 AM",4.1 oz.,1.5 2.6
"10/4/17, 7:25 AM",2.8 oz.,0.7 2.1
"10/4/17, 8:15 AM",.75 oz.,0.25 0.5
"10/4/17, 7:10 PM",2.2 oz.,1.1 1.1
